service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
21,1,1,0,1,0,0,0,20260330,20260604
23,0,0,1,0,0,0,0,20260330,20260604
25,0,0,0,0,1,0,0,20260330,20260604
29,0,0,0,0,0,1,0,20260404,20260607
30,0,0,0,0,0,0,1,20260404,20260607
31,1,1,0,1,1,0,0,20260605,20260611
33,0,0,1,0,0,0,0,20260605,20260611
85,0,0,0,0,0,0,0,20260508,20260508
89,0,0,0,0,0,0,0,20260509,20260509
61,1,1,1,1,0,0,0,20260612,20260802
65,0,0,0,0,1,0,0,20260612,20260802
69,0,0,0,0,0,1,1,20260612,20260802
